Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Unit	Exposure_Unit	Array	Tissue	Further_Details	N	N_Studies	Categories	Age	N_Males	N_Females	N_EUR	N_EAS	N_SAS	N_AFR	N_AMR	N_OTH	CpG	Location	Chr	Pos	Gene	Type	Beta	SE	P	Details
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in small LDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in small LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	664	1	-	48	-	664	664	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	4e-06	4e-06	0.346	-
Battram T	ARIES	-	09/04/2019	Arms tissue mass	-	-	-	DNA methylation	Arms tissue mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	685	1	-	48	-	685	685	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.009363	0.00996	0.348	-
Battram T	ARIES	-	09/04/2019	Free cholesterol in medium LDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in medium LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.065648	0.070069	0.349	-
Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in very small VLDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in very small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	666	1	-	48	-	666	666	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.000465	0.000503	0.355	-
Battram T	ARIES	-	09/04/2019	Ratio of polyunsaturated fatty acids to total fatty acids	-	-	-	DNA methylation	Ratio of polyunsaturated fatty acids to total fatty acids	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.000665	0.000727	0.361	-
Battram T	ARIES	-	09/04/2019	Glucose	EFO_0004468	-	-	DNA methylation	Glucose	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	660	1	-	48	-	660	660	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.004439	0.004866	0.362	-
Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in small LDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in small LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	663	1	-	48	-	663	663	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.001089	0.001194	0.362	-
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in large HDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in large HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	8.9e-05	9.8e-05	0.364	-
Battram T	ARIES	-	09/04/2019	Theta neck angle	-	-	-	DNA methylation	Theta neck angle	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.000417	0.000464	0.369	-
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in IDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in IDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	657	1	-	48	-	657	657	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.002659	0.002986	0.374	-
Battram T	ARIES	-	09/04/2019	Omega 3 fatty acids	EFO_0005110	-	-	DNA methylation	Omega 3 fatty acids	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	657	1	-	48	-	657	657	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.007653	0.008627	0.375	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters in IDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in IDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.013802	0.015683	0.379	-
Battram T	ARIES	-	09/04/2019	Valine	EFO_0009792	-	-	DNA methylation	Valine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.055797	0.0637	0.381	-
Battram T	ARIES	-	09/04/2019	Sitting height	EFO_0004339	-	-	DNA methylation	Sitting height	Age and technical covariates	Beta values	cm	Illumina HumanMethylation450	Whole blood	-	699	1	-	48	-	699	699	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.000527	0.000604	0.383	-
Battram T	ARIES	-	09/04/2019	Triglycerides in medium HDL	EFO_0004530	-	-	DNA methylation	Triglycerides in medium HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.12458	0.143948	0.387	-
Battram T	ARIES	-	09/04/2019	Low-density lipoprotein cholesterol	EFO_0004611	-	-	DNA methylation	Low-density lipoprotein cholesterol	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	678	1	-	48	-	678	678	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.002074	0.002453	0.398	-
Battram T	ARIES	-	09/04/2019	Cross sectional moment of inertia	-	-	-	DNA methylation	Cross sectional moment of inertia	Age and technical covariates	Beta values	mm4	Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-1e-06	1e-06	0.398	-
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in very large HDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in very large HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	661	1	-	48	-	661	661	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.002416	0.002873	0.401	-
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in large LDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in large LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.029693	0.035395	0.402	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in very small VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in very small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	666	1	-	48	-	666	666	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.000509	0.000608	0.403	-
Battram T	ARIES	-	09/04/2019	Total cholesterol in IDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in IDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.009287	0.011155	0.405	-
Battram T	ARIES	-	09/04/2019	Total lean mass	-	-	-	DNA methylation	Total lean mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.013323	0.016093	0.408	-
Battram T	ARIES	-	09/04/2019	Trunk bone mineral content	EFO_0007621	-	-	DNA methylation	Trunk bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	8e-06	9e-06	0.41	-
Battram T	ARIES	-	09/04/2019	Total lipids in very small VLDL	-	-	-	DNA methylation	Total lipids in very small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.007119	0.008697	0.413	-
Battram T	ARIES	-	09/04/2019	Ratio of monounsaturated fatty acids to total fatty acids	-	-	-	DNA methylation	Ratio of monounsaturated fatty acids to total fatty acids	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	656	1	-	48	-	656	656	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.000591	0.000724	0.415	-
Battram T	ARIES	-	09/04/2019	Adiponectin	EFO_0004502	-	-	DNA methylation	Adiponectin	Age and technical covariates	Beta values	ng/ml	Illumina HumanMethylation450	Whole blood	-	275	1	-	47	-	275	275	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.005036	0.006223	0.419	-
Battram T	ARIES	-	09/04/2019	Free cholesterol	EFO_0008591	-	-	DNA methylation	Free cholesterol	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	660	1	-	48	-	660	660	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.006634	0.008291	0.424	-
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in very small VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in very small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	654	1	-	48	-	654	654	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.002208	0.002762	0.424	-
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in medium LDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in medium LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.014256	0.017904	0.426	-
Battram T	ARIES	-	09/04/2019	Head bone mineral density	EFO_0007591	-	-	DNA methylation	Head bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.005432	0.006816	0.426	-
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in very large VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in very large VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	637	1	-	48	-	637	637	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.000254	0.000322	0.431	-
Battram T	ARIES	-	09/04/2019	Total fat free mass	-	-	-	DNA methylation	Total fat free mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.012824	0.016409	0.435	-
Battram T	ARIES	-	09/04/2019	Trunk bone mass	-	-	-	DNA methylation	Trunk bone mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.006545	0.008462	0.44	-
Battram T	ARIES	-	09/04/2019	Free cholesterol in medium VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in medium VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	662	1	-	48	-	662	662	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.002074	0.002757	0.452	-
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in small LDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in small LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	666	1	-	48	-	666	666	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.013033	0.017433	0.455	-
Battram T	ARIES	-	09/04/2019	Total lipids in very large VLDL	-	-	-	DNA methylation	Total lipids in very large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	639	1	-	48	-	639	639	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.010993	0.01473	0.456	-
Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in small HDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in small HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.001501	0.00202	0.458	-
Battram T	ARIES	-	09/04/2019	Ratio of 22:6 docosahexaenoic acid to total fatty acids	EFO_0005110	-	-	DNA methylation	Ratio of 22:6 docosahexaenoic acid to total fatty acids	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.005907	0.007989	0.46	-
Battram T	ARIES	-	09/04/2019	Fasting cholesterol	EFO_0004574	-	-	DNA methylation	Fasting cholesterol	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	678	1	-	48	-	678	678	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.001762	0.002387	0.46	-
Battram T	ARIES	-	09/04/2019	Hip lower neck bone mineral content	EFO_0007621	-	-	DNA methylation	Hip lower neck bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.003462	0.004688	0.461	-
Battram T	ARIES	-	09/04/2019	Creatinine	EFO_0004518	-	-	DNA methylation	Creatinine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.146249	0.203633	0.473	-
Battram T	ARIES	-	09/04/2019	Phospholipids in small HDL	EFO_0004639	-	-	DNA methylation	Phospholipids in small HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.019008	0.026542	0.474	-
Battram T	ARIES	-	09/04/2019	Free cholesterol in very small VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in very small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.067288	0.094132	0.475	-
Battram T	ARIES	-	09/04/2019	Hip total area	-	-	-	DNA methylation	Hip total area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.000586	0.000821	0.476	-
Battram T	ARIES	-	09/04/2019	Free cholesterol in large LDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in large LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.023988	0.033609	0.476	-
Battram T	ARIES	-	09/04/2019	Hip Wards bone mineral density	EFO_0007702	-	-	DNA methylation	Hip Wards bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.009198	0.012928	0.477	-
Battram T	ARIES	-	09/04/2019	Hip Wards T-score	-	-	-	DNA methylation	Hip Wards T-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.001196	0.001681	0.477	-
Battram T	ARIES	-	09/04/2019	Hip Troch Z-score	-	-	-	DNA methylation	Hip Troch Z-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.001274	0.001805	0.481	-
Battram T	ARIES	-	09/04/2019	Free cholesterol in IDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in IDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.025969	0.037606	0.49	-
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipids ratio in chylomicrons and XXL-VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipids ratio in chylomicrons and XXL-VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	613	1	-	48	-	613	613	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.000705	0.001025	0.492	-
Battram T	ARIES	-	09/04/2019	Bone cross sectional area	-	-	-	DNA methylation	Bone cross sectional area	Age and technical covariates	Beta values	mm2	Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-5.7e-05	8.5e-05	0.499	-
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in small VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.002292	0.003399	0.5	-
Battram T	ARIES	-	09/04/2019	Triglycerides in small HDL	EFO_0004530	-	-	DNA methylation	Triglycerides in small HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	669	1	-	48	-	669	669	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.099055	0.146862	0.5	-
Battram T	ARIES	-	09/04/2019	Lactate	EFO_0007745	-	-	DNA methylation	Lactate	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	649	1	-	48	-	649	649	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.005118	0.007613	0.502	-
Battram T	ARIES	-	09/04/2019	Spine bone mineral density	EFO_0007701	-	-	DNA methylation	Spine bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.009692	0.014555	0.506	-
Battram T	ARIES	-	09/04/2019	Total lipids in medium HDL	-	-	-	DNA methylation	Total lipids in medium HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.008462	0.012753	0.507	-
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in medium HDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in medium HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	660	1	-	48	-	660	660	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.003798	0.005804	0.513	-
Battram T	ARIES	-	09/04/2019	Concentration of medium HDL particles	-	-	-	DNA methylation	Concentration of medium HDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-4453.654362	6842.955953	0.515	-
Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in very small VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in very small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	664	1	-	48	-	664	664	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.000346	0.000531	0.516	-
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in medium VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in medium VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	664	1	-	48	-	664	664	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.001108	0.001711	0.517	-
Battram T	ARIES	-	09/04/2019	Serum total cholesterol	EFO_0004574	-	-	DNA methylation	Serum total cholesterol	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.001537	0.002396	0.522	-
Battram T	ARIES	-	09/04/2019	Glycoprotein acetyls	EFO_0004555	-	-	DNA methylation	Glycoprotein acetyls	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.010473	0.016438	0.524	-
Battram T	ARIES	-	09/04/2019	Total cholesterol in small LDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in small LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.012819	0.020355	0.529	-
Battram T	ARIES	-	09/04/2019	Hip Troch T-score	-	-	-	DNA methylation	Hip Troch T-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.001041	0.001654	0.53	-
Battram T	ARIES	-	09/04/2019	Total cholesterol in LDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.00361	0.005744	0.53	-
Battram T	ARIES	-	09/04/2019	Histidine	EFO_0009769	-	-	DNA methylation	Histidine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.105004	0.167583	0.531	-
Battram T	ARIES	-	09/04/2019	Phospholipids in small LDL	EFO_0004639	-	-	DNA methylation	Phospholipids in small LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.046609	0.074342	0.531	-
Battram T	ARIES	-	09/04/2019	Ratio of diacylglycerol to triglycerides	-	-	-	DNA methylation	Ratio of diacylglycerol to triglycerides	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	633	1	-	48	-	633	633	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.155149	0.248845	0.533	-
Battram T	ARIES	-	09/04/2019	Total cholesterol in medium LDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in medium LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.007752	0.012434	0.533	-
Battram T	ARIES	-	09/04/2019	Total cholesterol in large LDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in large LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.005006	0.008066	0.535	-
Battram T	ARIES	-	09/04/2019	Leucine	EFO_0009770	-	-	DNA methylation	Leucine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.007293	0.011831	0.538	-
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in large VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in large VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.000325	0.00053	0.539	-
Battram T	ARIES	-	09/04/2019	Total lipids in IDL	-	-	-	DNA methylation	Total lipids in IDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.004544	0.007435	0.541	-
Battram T	ARIES	-	09/04/2019	Triglycerides in IDL	EFO_0004530	-	-	DNA methylation	Triglycerides in IDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.037048	0.060505	0.541	-
Battram T	ARIES	-	09/04/2019	Hip Troch bone mineral density	EFO_0007591	-	-	DNA methylation	Hip Troch bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.00755	0.012414	0.543	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters in large LDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in large LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.006368	0.010569	0.547	-
Battram T	ARIES	-	09/04/2019	Hip total bone mineral content	EFO_0007621	-	-	DNA methylation	Hip total bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.000215	0.00036	0.549	-
Battram T	ARIES	-	09/04/2019	Triglycerides in very large HDL	EFO_0004530	-	-	DNA methylation	Triglycerides in very large HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	666	1	-	48	-	666	666	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.031253	0.052196	0.55	-
Battram T	ARIES	-	09/04/2019	Phospholipids in medium LDL	EFO_0004639	-	-	DNA methylation	Phospholipids in medium LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.028581	0.04788	0.551	-
