author	consortium	pmid	publication_date	trait	efo	analysis	source	outcome	exposure	covariates	outcome_unit	exposure_unit	array	tissue	further_details	n	n_studies	categories	age	n_males	n_females	n_eur	n_eas	n_sas	n_afr	n_amr	n_oth	id
Pfeiffer L		25583993	2015-01-12	High-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Discovery	Table 2	High-density lipoprotein cholesterol	DNA methylation	Age, sex, smoking, body mass index, alcohol consumption, physical activity, hypertension, history of MI, hemoglobin A1c, C-reactive protein, lipid-lowering drugs intake and cell counts	mg/dl	Beta values	Illumina HumanMethylation450	Whole blood		1776	1		61	867	909	1776						25583993_highdensity_lipoprotein_cholesterol_discovery
Pfeiffer L		25583993	2015-01-12	High-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Replication	Table 2	High-density lipoprotein cholesterol	DNA methylation	Age, sex, smoking, body mass index, alcohol consumption, physical activity, hypertension, history of MI, hemoglobin A1c, C-reactive protein, lipid-lowering drugs intake and cell counts	mg/dl	Beta values	Illumina HumanMethylation450	Whole blood		971	2		62	474	497	971						25583993_highdensity_lipoprotein_cholesterol_replication
Pfeiffer L		25583993	2015-01-12	Low-density lipoprotein cholesterol	EFO_0004195, EFO_0004611	Discovery	Table 2	Low-density lipoprotein cholesterol	DNA methylation	Age, sex, smoking, body mass index, alcohol consumption, physical activity, hypertension, history of MI, hemoglobin A1c, C-reactive protein, lipid-lowering drugs intake and cell counts	mg/dl	Beta values	Illumina HumanMethylation450	Whole blood		1776	1		61	867	909	1776						25583993_lowdensity_lipoprotein_cholesterol_discovery
Pfeiffer L		25583993	2015-01-12	Low-density lipoprotein cholesterol	EFO_0004195, EFO_0004611	Replication	Table 2	Low-density lipoprotein cholesterol	DNA methylation	Age, sex, smoking, body mass index, alcohol consumption, physical activity, hypertension, history of MI, hemoglobin A1c, C-reactive protein, lipid-lowering drugs intake and cell counts	mg/dl	DNA methylation	Illumina HumanMethylation450	Whole blood		971	2		62	474	497	971						25583993_lowdensity_lipoprotein_cholesterol_replication
Pfeiffer L		25583993	2015-01-12	Triglycerides	EFO_0004530, CHEBI_17855	Discovery	Table 2	Triglycerides	DNA methylation	Age, sex, smoking, body mass index, alcohol consumption, physical activity, hypertension, history of MI, hemoglobin A1c, C-reactive protein, lipid-lowering drugs intake and cell counts	mg/dl	Beta values	Illumina HumanMethylation450	Whole blood		1776	1		61	867	909	1776						25583993_triglycerides_discovery
Pfeiffer L		25583993	2015-01-12	Triglycerides	EFO_0004530, CHEBI_17855	Replication	Table 2	Triglycerides	DNA methylation	Age, sex, smoking, body mass index, alcohol consumption, physical activity, hypertension, history of MI, hemoglobin A1c, C-reactive protein, lipid-lowering drugs intake and cell counts	mg/dl	Beta values	Illumina HumanMethylation450	Whole blood		971	2		62	474	497	971						25583993_triglycerides_replication
Prados J		25612291	2015-01-22	Borderline personality disorder vs major depressive disorder	HP_0012076, EFO_0007634, EFO_0004247		Table 3	DNA methylation	Borderline personality disorder vs major depressive disorder	Technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		189	1	96 borderline personality disorder, 93 major depressive disorder	37	42	147							25612291_borderline_personality_disorder_vs_major_depressive_disorder
Marioni RE		25617346	2015-01-22	Fluid type general intelligence	EFO_0004337		Table S2	DNA methylation	Fluid type general intelligence	Age, sex and cell counts	Beta values		Illumina HumanMethylation450	Whole blood		1072	1		70	538	534	1072						25617346_fluid_type_general_intelligence
Marioni RE		25617346	2015-01-22	Forced expiratory volume in one second	EFO_0004314		Table S2	DNA methylation	Forced expiratory volume in one second	Age, sex, smoking, height and cell counts	Beta values	l	Illumina HumanMethylation450	Whole blood		1085	1		70	545	540	1085						25617346_lung_function_fev1
Marioni RE		25617346	2015-01-22	Walking speed			Table S2	DNA methylation	Walking speed	Age, sex, height and cell counts	Beta values	Seconds	Illumina HumanMethylation450	Whole blood		1085	1		70	545	540	1085						25617346_walking_speed
Spiers H		25650246	2015-02-03	Gestational age	EFO_0005112, EFO_0000246		Additional file 1	DNA methylation	Gestational age	Sex and technical covariates	Beta values	days	Illumina HumanMethylation450	Fetal brain		179	1			100	79							25650246_gestational_age
Spiers H		25650246	2015-02-03	Interaction between gestational age and sex	EFO_0005112, EFO_0000246, PATO_0000047		Table 4	DNA methylation	Interaction between gestational age and sex	Technical covariates	Beta values		Illumina HumanMethylation450	Fetal brain		179	1			100	79							25650246_interaction_between_gestational_age_and_sex
Spiers H		25650246	2015-02-03	Sex	PATO_0000047		Additional file 3	DNA methylation	Sex	Gestational age and technical covariates	Beta values		Illumina HumanMethylation450	Fetal brain		179	1			100	79							25650246_sex
Zaghlool SB		25663950	2015-01-22	Smoking	EFO_0006527, EFO_0005671, EFO_0004318		Table 1	DNA methylation	Smoking	Age, sex, cell counts and technical covariates	M values		Illumina HumanMethylation450	Whole blood		121	1	13 smokers, 108 non-smokers		50	71						121	25663950_smoking
Hernandez-Vargas H		25855716	2015-04-07	Prenatal exposure to aflatoxin B1	CHEBI_2504		Table 2	DNA methylation	Prenatal exposure to aflatoxin B1	Sex, season of conception and technical covariates	M values		Illumina HumanMethylation450	White blood cells		115	1	55 high exposure, 60 low exposure	0.3	60	55				115			25855716_prenatal_exposure_to_aflatoxin_b1
Sharp GC		25855720	2015-08-01	Gestational weight gain in early pregnancy	EFO_0008435	Childhood	Additional file 1	DNA methylation	Gestational weight gain in early pregnancy	Offspring sex, maternal age, maternal smoking, maternal occupation, parity and technical covariates	Beta values	kg/w	Illumina HumanMethylation450	Whole blood		733	1		7	358	375	733						25855720_gestational_weight_gain_in_early_pregnancy_childhood
Sharp GC		25855720	2015-08-01	Maternal obesity	EFO_0001073	Adolescence	Additional file 1	DNA methylation	Maternal obesity	Offspring sex, maternal age, maternal smoking, maternal occupation, parity and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		654	1	33 maternal obesity cases, 621 controls	15	319	335	654						25855720_maternal_obesity_adolescence
Sharp GC		25855720	2015-08-01	Maternal obesity	EFO_0001073	Birth	Additional file 1	DNA methylation	Maternal obesity	Offspring sex, maternal age, maternal smoking, maternal occupation, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood		609	1	32 maternal obesity cases, 577 controls	0	297	312	609						25855720_maternal_obesity_birth
Sharp GC		25855720	2015-08-01	Maternal obesity	EFO_0001073	Childhood	Additional file 1	DNA methylation	Maternal obesity	Offspring sex, maternal age, maternal smoking, maternal occupation, parity and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		646	1	26 maternal obesity cases, 620 controls	7	315	331	646						25855720_maternal_obesity_childhood
Sharp GC		25855720	2015-08-01	Maternal underweight	EFO_0005936	Adolescence	Additional file 1	DNA methylation	Maternal underweight	Offspring sex, maternal age, maternal smoking, maternal occupation, parity and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		647	1	26 maternal underweight cases, 621 controls	15	316	331	647						25855720_maternal_underweight_adolescence
Sharp GC		25855720	2015-08-01	Maternal underweight	EFO_0005936	Birth	Additional file 1	DNA methylation	Maternal underweight	Offspring sex, maternal age, maternal smoking, maternal occupation, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood		601	1	24 maternal underweight cases, 577 controls	0	293	308	601						25855720_maternal_underweight_birth
Sharp GC		25855720	2015-08-01	Maternal underweight	EFO_0005936	Childhood	Additional file 1	DNA methylation	Maternal underweight	Offspring sex, maternal age, maternal smoking, maternal occupation, parity and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		638	1	26 maternal underweight cases, 612 controls	7	311	327	638						25855720_maternal_underweight_childhood
Sharp GC		25855720	2015-08-01	Pre-pregnancy body mass index	EFO_0004340	Birth	Additional file 1	DNA methylation	Maternal pre-pregnancy body mass index	Offspring sex, maternal age, maternal smoking, maternal occupation, parity and technical covariates	Beta values	kg/m2	Illumina HumanMethylation450	Cord blood		727	1		0	355	372	727						25855720_prepregnancy_body_mass_index_birth
Sharp GC		25855720	2015-08-01	Pre-pregnancy body mass index	EFO_0004340	Childhood	Additional file 1	DNA methylation	Maternal pre-pregnancy body mass index	Offspring sex, maternal age, maternal smoking, maternal occupation, parity and technical covariates	Beta values	kg/m2	Illumina HumanMethylation450	Whole blood		770	1		7	376	394	770						25855720_prepregnancy_body_mass_index_childhood
Marttila S		25888029	2015-03-14	Ageing	GO_0007568		Additional file 1	DNA methylation	Age group	Sex and cell counts	Beta values		Illumina HumanMethylation450	Peripheral blood mononuclear cells	Variable dispersion beta regression model	143	1	122 nonagenarians, 21 young controls	58.5	40	103	143						25888029_ageing
Demerath EW		25935004	2015-08-01	Body mass index change	EFO_0004340, EFO_0005937		Table S3	DNA methylation	Body mass index change	Age, sex, smoking, study centre, alcohol consumption, education, household income, physical activity, cell counts and technical covariates	Beta values	kg/m2	Illumina HumanMethylation450	Leukocytes	Regression coefficient per 1 SD of body mass index change	2096	1		56.2	763	1333				2096			25935004_body_mass_index_change
Demerath EW		25935004	2015-08-01	Body mass index	EFO_0004340	Discovery	Table S4	DNA methylation	Body mass index	Age, sex, smoking, study centre, alcohol consumption, education, household income, physical activity, cell counts and technical covariates	Beta values	kg/m2	Illumina HumanMethylation450	Leukocytes	Regression coefficient per 1 SD of body mass index	2096	1		56.2	763	1333				2096			25935004_body_mass_index_discovery
Demerath EW		25935004	2015-08-01	Body mass index	EFO_0004340	Meta-analysis	Table 2	DNA methylation	Body mass index	Age, sex, smoking, study centre, alcohol consumption, education, household income, physical activity, cell counts and technical covariates	Beta values	kg/m2	Illumina HumanMethylation450	Leukocytes, whole blood and CD4+ T cells	Regression coefficient per 1 SD of body mass index	5464	4		59.6	2285	3179	3368			2096			25935004_body_mass_index_metaanalysis
Demerath EW		25935004	2015-08-01	Body mass index	EFO_0004340	Replication	Table 2	DNA methylation	Body mass index	Age, sex, smoking, study centre and technical covariates	Beta values	kg/m2	Illumina HumanMethylation450	Whole blood and CD4+ T cells	Regression coefficient per 1 SD of body mass index	3368	3		61.7	1522	1846	3368						25935004_body_mass_index_replication
Demerath EW		25935004	2015-08-01	Waist circumference	EFO_0004342	Discovery	Table S5	DNA methylation	Waist circumference	Age, sex, smoking, study centre, alcohol consumption, education, household income, physical activity, cell counts and technical covariates	Beta values	cm	Illumina HumanMethylation450	Leukocytes	Regression coefficient per 1 SD of waist circumference	2097	1		56.2	763	1334				2097			25935004_waist_circumference_discovery
Demerath EW		25935004	2015-08-01	Waist circumference	EFO_0004342	Meta-analysis	Table 3	DNA methylation	Waist circumference	Age, sex, smoking, study centre, alcohol consumption, education, household income, physical activity, cell counts and technical covariates	Beta values	cm	Illumina HumanMethylation450	Leukocytes and CD4+ T cells	Regression coefficient per 1 SD of waist circumference	3088	2		53.9	1239	1849	991			2097			25935004_waist_circumference_metaanalysis
Demerath EW		25935004	2015-08-01	Waist circumference	EFO_0004342	Replication	Table 3	DNA methylation	Waist circumference	Age, sex, smoking, study centre and technical covariates	Beta values	cm	Illumina HumanMethylation450	CD4+ T-cells	Regression coefficient per 1 SD of waist circumference	991	1		49	476	515	991						25935004_waist_circumference_replication
Tobi EW		25944819	2015-08-01	Prenatal famine exposure	EFO_0005112	Any of the gestation periods	Table 3	DNA methylation	Prenatal famine exposure	Age, sex and technical covariates	Beta values	kcal/day	Illumina HumanMethylation450	Whole blood		811	1	348 prenatal famine exposure cases, 463 controls	59	359	452	811						25944819_prenatal_famine_exposure_any_of_the_gestation_periods
Tobi EW		25944819	2015-08-01	Prenatal famine exposure	EFO_0005112	Early weeks of gestation (weeks 1-10)	Table 2	DNA methylation	Prenatal famine exposure	Age, sex and technical covariates	Beta values	kcal/day	Illumina HumanMethylation450	Whole blood		536	1	73 prenantal famine exposure cases, 463 controls	59	233	303	536						25944819_prenatal_famine_exposure_early_weeks_of_gestation_weeks_110
Chambers JC		26095709	2015-07-01	Type II diabetes	EFO_0001360	Discovery	Table 3	Type II diabetes	DNA methylation	Age, sex, cell counts and technical covariates		Beta values	Illumina HumanMethylation450	Peripheral blood	Regression coeffcient per 1 pecent increase in methylation	2664	1	1074 type II diabetes cases, 1590 controls	50	1643	1021			2664				26095709_type_ii_diabetes_discovery
Chambers JC		26095709	2015-07-01	Type II diabetes	EFO_0001360	Meta-analysis	Table 3	Type II diabetes	DNA methylation	Age, sex, cell counts and technical covariates		Beta values	Illumina HumanMethylation450	Peripheral blood	Regression coeffcient per 1 pecent increase in methylation	3805	4	1451 type II diabetes cases, 2354 controls	53	2376	1429	1141		2664				26095709_type_ii_diabetes_metaanalysis
Chambers JC		26095709	2015-07-01	Type II diabetes	EFO_0001360	Replication	Table 3	Type II diabetes	DNA methylation	Age, sex, cell counts and technical covariates		Beta values	Illumina HumanMethylation450	Peripheral blood	Regression coeffcient per 1 pecent increase in methylation	1141	3	377 type II diabetes cases, 764 controls	59	733	408	1141						26095709_type_ii_diabetes_replication
Aslibekyan S		26110892	2015-07-01	Body mass index	EFO_0004340	ARIC	Table 2	DNA methylation	Body mass index	Age, sex, smoking, study centre, alcohol consumption, education, household income, physical activity, cell counts and technical covariates	Beta values	kg/m2	Illumina HumanMethylation450	Leukocytes	Regression coefficient per 1 SD of body mass index	2106	1		56	779	1327				2106			26110892_body_mass_index_aric
Aslibekyan S		26110892	2015-07-01	Body mass index	EFO_0004340	Discovery GOLDN	Table 2	DNA methylation	Body mass index	Age, sex, smoking, study centre and technical covariates	Beta values	kg/m2	Illumina HumanMethylation450	CD4+ T-cells		991	1		49	476	515	991						26110892_body_mass_index_discovery_goldn
Aslibekyan S		26110892	2015-07-01	Body mass index	EFO_0004340	FHS 1	Table 2	DNA methylation	Body mass index	Age, sex and technical covariates	Beta values	kg/m2	Illumina HumanMethylation450	Whole blood		1935	1		65	755	1180	1935						26110892_body_mass_index_fhs_1
Aslibekyan S		26110892	2015-07-01	Body mass index	EFO_0004340	FHS 2	Table 2	DNA methylation	Body mass index	Age, sex and technical covariates	Beta values	kg/m2	Illumina HumanMethylation450	Whole blood		442	1		71	133	309	442						26110892_body_mass_index_fhs_2
Aslibekyan S		26110892	2015-07-01	Body mass index	EFO_0004340	Meta-analysis	Table 2	DNA methylation	Body mass index	Age, sex, smoking, study centre and technical covariates	Beta values	kg/m2	Illumina HumanMethylation450	CD4+ T-cells, leukocytes and whole blood		5474	4		59.1	2143	3331	3368			2106			26110892_body_mass_index_metaanalysis
Aslibekyan S		26110892	2015-07-01	Waist circumference	EFO_0004342	ARIC	Table 3	DNA methylation	Waist circumference	Age, sex, smoking, study centre, alcohol consumption, education, household income, physical activity, cell counts and technical covariates	Beta values	cm	Illumina HumanMethylation450	Leukocytes	Regression coefficient per 1 SD of waist circumference	2106	1		56	779	1327				2106			26110892_waist_circumference_aric
Aslibekyan S		26110892	2015-07-01	Waist circumference	EFO_0004342	Discovery GOLDN	Table 3	DNA methylation	Waist circumference	Age, sex, smoking, study centre and technical covariates	Beta values	cm	Illumina HumanMethylation450	CD4+ T-cells		991	1		49	476	515	991						26110892_waist_circumference_discovery_goldn
Aslibekyan S		26110892	2015-07-01	Waist circumference	EFO_0004342	Meta-analysis	Table 3	DNA methylation	Waist circumference	Age, sex, smoking, study centre and technical covariates	Beta values	cm	Illumina HumanMethylation450	CD4+ T-cells and leukocytes		3097	2		53.8	1255	1842	991			2106			26110892_waist_circumference_metaanalysis
Shah S		26119815	2015-07-02	Body mass index	EFO_0004340	Discovery	Table S1	DNA methylation	Body mass index	Age, sex and technical covariates	M values	kg/m2	Illumina HumanMethylation450	Whole blood	Residuals from the regression of DNA methylation on covariates were inverse normally rank transformed prior to analysis	1366	2		74.3	641	725	1366						26119815_body_mass_index_discovery
Shah S		26119815	2015-07-02	Body mass index	EFO_0004340	Replication	Table S1	DNA methylation	Body mass index	Age, sex and technical covariates	M values	kg/m2	Illumina HumanMethylation450	Whole blood	Residuals from the regression of DNA methylation on covariates were inverse normally rank transformed prior to analysis	752	1		45.5	317	435	752						26119815_body_mass_index_replication
Teschendorff AE		26181258	2015-07-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Discovery	Table 2	DNA methylation	Smoking	Age, sex and technical covariates	Beta values		Illumina HumanMethylation450	Buccal cells	Regression coefficient per 10 pack-years	400	1	82 current smokers, 127 ex-smokers, 191 never smokers	53		400	400						26181258_smoking_discovery
Teschendorff AE		26181258	2015-07-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004319	Replication	Table 2	DNA methylation	Smoking	Age, sex and technical covariates	Beta values		Illumina HumanMethylation450	Buccal cells	Regression coefficient per 10 pack-years	390	1	85 current smokers, 112 ex-smokers, 193 never smokers	53		390	390						26181258_smoking_replication
Teschendorff AE		26181258	2015-07-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004320	Whole blood	Table 2	DNA methylation	Smoking	Age, sex and technical covariates	Beta values		Illumina HumanMethylation450	Whole Blood	Regression coefficient per 10 pack-years	152	1	31 current smokers, 49 ex-smokers, 72 never smokers	53		152	152						26181258_smoking_whole_blood
Chung SA		26192630	2015-07-20	Autoantibody production in systemic lupus erythematosus	EFO_0004866, EFO_0002690	Combined	Table S1	DNA methylation	Autoantibody production in systemic lupus erythematosus	Age, disease duration, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood	Wilcoxon rank sum test	326	2	156 anti-dsDNA positive SLE cases, 170 anti-dsDNA negative SLE cases	46		326	326						26192630_autoantibody_production_in_systemic_lupus_erythematosus_combined
Chung SA		26192630	2015-07-20	Autoantibody production in systemic lupus erythematosus	EFO_0004866, EFO_0002690	Discovery	Table 2	DNA methylation	Autoantibody production in systemic lupus erythematosus	Technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood	Wilcoxon rank sum test	186	1	94 anti-dsDNA positive SLE cases, 92 anti-dsDNA negative SLE cases	46		186	186						26192630_autoantibody_production_in_systemic_lupus_erythematosus_discovery
Chung SA		26192630	2015-07-20	Autoantibody production in systemic lupus erythematosus	EFO_0004866, EFO_0002690	Linear regression model	Table 2	DNA methylation	Autoantibody production in systemic lupus erythematosus	Age, ethnicity, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood		326	2	156 anti-dsDNA positive SLE cases, 170 anti-dsDNA negative SLE cases	46		326	326						26192630_autoantibody_production_in_systemic_lupus_erythematosus_linear_regression_model
Chung SA		26192630	2015-07-20	Autoantibody production in systemic lupus erythematosus	EFO_0004866, EFO_0002690	Replication	Table 2	DNA methylation	Autoantibody production in systemic lupus erythematosus	Technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood	Wilcoxon rank sum test	140	1	62 anti-dsDNA positive SLE cases, 78 anti-dsDNA negative SLE cases	46		140	140						26192630_autoantibody_production_in_systemic_lupus_erythematosus_replication
van Veldhoven K		26244061	2015-08-04	Breast cancer	EFO_0000305		Table S7	Breast cancer	DNA methylation	Technical covariates		Beta values	Illumina HumanMethylation450	Peripheral blood	Poisson generalized linear model	324	1	162 breast cancer cases, 162 controls	54		324	324						26244061_breast_cancer
Everson TM		26292806	2015-08-21	Atopy	EFO_0002686	Discovery	Table 5	Atopy	DNA methylation	Sex and cell counts		M values	Illumina HumanMethylation450	Whole blood		367	1	125 atopy cases, 237 controls	18	122	245	367						26292806_atopy_discovery
Everson TM		26292806	2015-08-21	Atopy	EFO_0002686	Replication	Table 5	Atopy	DNA methylation	Sex, asthma treatment, cell counts and technical covariates		M values	Illumina HumanMethylation450	Whole blood		464	1		8			464						26292806_atopy_replication
Everson TM		26292806	2015-08-21	High serum immunoglobulin E	EFO_0004579		Table 5	High serum immunoglobulin E	DNA methylation	Sex and cell counts		M values	Illumina HumanMethylation450	Whole blood		144	1	42 high serum immunoglobin E cases, 102 controls	18	101	43	144						26292806_high_serum_immunoglobulin_e
Nakatochi M		26404063	2015-12-01	Plasma resistin level	EFO_0004819	Discovery	Table 2	Plasma resistin level	DNA methylation	Age	ng/ml	M values	Illumina HumanMethylation450	Whole blood	Plasma resistin level were log10 transformed	191	1		66	191			191					26404063_plasma_resistin_level_discovery
Nakatochi M		26404063	2015-12-01	Plasma resistin level	EFO_0004819	Discovery adjusted for additional covariates	Table S1	Plasma resistin level	DNA methylation	Age, smoking, body mass index and cell counts	ng/ml	M values	Illumina HumanMethylation450	Whole blood	Plasma resistin level were log10 transformed	191	1		66	191			191					26404063_plasma_resistin_level_discovery_adjusted_for_additional_covariates
Nakatochi M		26404063	2015-12-01	Plasma resistin level	EFO_0004819	Replication	Table 2	Plasma resistin level	DNA methylation	Age and sex	ng/ml	M values	Illumina HumanMethylation450	Whole blood	Plasma resistin level were log10 transformed	287	1		63	136	151		287					26404063_plasma_resistin_level_replication
Florath I		26433941	2016-01-01	Type II diabetes	EFO_0001360	Discovery	Table 2	DNA methylation	Type II diabetes	Age, sex, smoking, body mass index and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		988	1	153 type II diabetes cases, 835 controls	63	497	491	988						26433941_type_ii_diabetes_discovery
Florath I		26433941	2016-01-01	Type II diabetes	EFO_0001360	Discovery adjusted for leucocyte composition	Table 2	DNA methylation	Type II diabetes	Age, sex, smoking, body mass index, leucocyte composition and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		988	1	153 type II diabetes cases, 835 controls	63	497	491	988						26433941_type_ii_diabetes_discovery_adjusted_for_leucocyte_composition
Florath I		26433941	2016-01-01	Type II diabetes	EFO_0001360	Replication	Table 2	DNA methylation	Type II diabetes	Age, sex, smoking, body mass index and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		527	1	87 type II diabetes cases, 440 controls	63	204	323	527						26433941_type_ii_diabetes_replication
Florath I		26433941	2016-01-01	Type II diabetes	EFO_0001360	Replication adjusted for leucocyte composition	Table 2	DNA methylation	Type II diabetes	Age, sex, smoking, body mass index, leucocyte composition and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		527	1	87 type II diabetes cases, 440 controls	63	204	323	527						26433941_type_ii_diabetes_replication_adjusted_for_leucocyte_composition
Dogan MV		26441693	2015-09-22	Smoking	EFO_0006527, EFO_0005671, EFO_0004318		Table 2	DNA methylation	Smoking	Ethnicity and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood		100	1	43 smokers, 57 non-smokers		100		48			52			26441693_smoking
Das M		26483836	2015-09-29	Change in high-density lipoprotein after 3 weeks of daily fenofibrate	EFO_0004612		Table 2	Change in DNA methylation	Change in high-density lipoprotein after 3 weeks of daily fenofibrate	Age, sex, study centre and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	CD4+ T-cells		443	1		48	215	228	443						26483836_change_in_highdensity_lipoprotein_after_3_weeks_of_daily_fenofibrate
Das M		26483836	2015-09-29	Change in low-density lipoprotein after 3 weeks of daily fenofibrate	EFO_0004611		Table 2	Change in DNA methylation	Change in low-density lipoprotein after 3 weeks of daily fenofibrate	Age, sex, study centre and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	CD4+ T-cells		443	1		48	215	228	443						26483836_change_in_lowdensity_lipoprotein_after_3_weeks_of_daily_fenofibrate
Das M		26483836	2015-09-29	Change in triglycerides after 3 weeks of daily fenofibrate	EFO_0004530		Table 2	Change in DNA methylation	Change in triglycerides after 3 weeks of daily fenofibrate	Age, sex, study centre and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	CD4+ T-cells		443	1		48	215	228	443						26483836_change_in_triglycerides_after_3_weeks_of_daily_fenofibrate
Zilhao NR		26499864	2015-12-01	Tic disorders	OMIT_0014825		Table 3	DNA methylation	Tic disorders	Smoking, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		1678	1	188 tic disorder cases, 1490 controls	41.5	517	1161	1678						26499864_tic_disorders
Singmann P		26500701	2015-10-19	Sex	EFO_0001271	KORA F3	Additional file 2	DNA methylation	Sex	Age, smoking, alcohol consumption, body mass index, triglycerides, total leucocytes, high-density lipoprotein, low-density lipoprotein, physical activity, diabetes, myocardial infarction, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		500	1		53	260	240	500						26500701_sex_kora_f3
Singmann P		26500701	2015-10-19	Sex	EFO_0001271	KORA F4	Additional file 2	DNA methylation	Sex	Age, smoking, alcohol consumption, body mass index, triglycerides, total leucocytes, high-density lipoprotein, low-density lipoprotein, physical activity, diabetes, myocardial infarction, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		1799	1		60	877	922	1799						26500701_sex_kora_f4
Singmann P		26500701	2015-10-19	Sex	EFO_0001271	Meta-analysis	Additional file 2	DNA methylation	Sex	Age, smoking, alcohol consumption, body mass index, triglycerides, total leucocytes, high-density lipoprotein, low-density lipoprotein, physical activity, diabetes, myocardial infarction, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		1999	3		35.7	1099	900	1999						26500701_sex_metaanalysis
van Dongen J		26508088	2015-12-01	Aggressive behaviour	EFO_0003015		Table 3	DNA methylation	Aggressive behaviour	Age, sex, blood cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	Aggressive behaviour was rated with the ASEBA adult self-report	2059	1		36.4	634	1425	2059						26508088_aggressive_behaviour
Yousefi P		26553366	2015-11-09	Sex	PATO_0000047		Additional file 1	DNA methylation	Sex	Cell counts and technical covariates	M values		Illumina HumanMethylation450	Cord Blood		111	1	53 males, 58 females	0	53	58					111		26553366_sex
Tsai PC		26563994	2015-12-01	Birth weight	EFO_0004344	Meta-analysis	Table 2	DNA methylation	Birth weight ratio	Age, smoking, alcohol consumption, cell counts and technical covariates	Beta values	%	Illumina HumanMethylation450	Whole blood		432	4		45.7	102	330	432						26563994_birth_weight_metaanalysis
Tsai PC		26563994	2015-12-01	Birth weight	EFO_0004344	TwinsUK	Table 2	DNA methylation	Birth weight ratio	Age, smoking, alcohol consumption, cell counts and technical covariates	Beta values	%	Illumina HumanMethylation450	Whole blood		142	1		55.4		142	142						26563994_birth_weight_twinsuk
Baselmans BM		26619905	2015-12-01	Wellbeing	EFO_0007869		Table 3	DNA methylation	Wellbeing	Age, sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		2456	1		38.3	764	1692	2456						26619905_wellbeing
Soriano-Tarraga C		26643952	2016-02-01	HbA1c	EFO_0009207	BASICMAR 1	Table 3	DNA methylation	HbA1c	Age, sex, smoking, hyperlipidemia, body mass index, cell counts and technical covariates	M values	%	Illumina HumanMethylation450	Peripheral blood		268	1		74	156	112	268						26643952_hba1c_basicmar_1
Soriano-Tarraga C		26643952	2016-02-01	HbA1c	EFO_0009207	BASICMAR 2	Table 3	DNA methylation	HbA1c	Age, sex, smoking, hyperlipidemia, body mass index, cell counts and technical covariates	M values	%	Illumina HumanMethylation450	Peripheral blood		162	1		74.8	81	81	162						26643952_hba1c_basicmar_2
Soriano-Tarraga C		26643952	2016-02-01	Type II diabetes	EFO_0001360	BASICMAR 1	Table 2	DNA methylation	Type II diabetes	Age, sex, smoking, hyperlipidemia, body mass index, cell counts and technical covariates	M values		Illumina HumanMethylation450	Peripheral blood		355	1	151 type II diabetes cases, 204 controls	74	206	149	355						26643952_type_ii_diabetes_basicmar_1
Soriano-Tarraga C		26643952	2016-02-01	Type II diabetes	EFO_0001360	BASICMAR 2	Table 2	DNA methylation	Type II diabetes	Age, sex, smoking, hyperlipidemia, body mass index, cell counts and technical covariates	M values		Illumina HumanMethylation450	Peripheral blood		167	1	59 type II diabetes cases, 108 controls	74.8	83	84	167						26643952_type_ii_diabetes_basicmar_2
Huang RC		26646899	2015-01-01	Obesity	EFO_0001073		Table 2	DNA methylation	Obesity	Technical covariates	M values		Illumina HumanMethylation450	Whole blood		108	1	54 severe obesity cases, 54 controls	12.5	50	58	108						26646899_obesity
