Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Units	Exposure_Units	Methylation_Array	Tissue	Further_Details	N	N_Cohorts	Categories	Age	N_Males	N_Females	N_EUR	N_EAS	N_SAS	N_AFR	N_AMR	N_OTH	StudyID
Battram T	ARIES	-	09/04/2019	Free cholesterol in large LDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in large LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_free_cholesterol_in_large_ldl
Battram T	ARIES	-	09/04/2019	Free cholesterol in large VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	648	1	-	48	-	648	648	-	-	-	-	-	Battram-T_free_cholesterol_in_large_vldl
Battram T	ARIES	-	09/04/2019	Free cholesterol in medium HDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in medium HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_free_cholesterol_in_medium_hdl
Battram T	ARIES	-	09/04/2019	Free cholesterol in medium LDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in medium LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_free_cholesterol_in_medium_ldl
Battram T	ARIES	-	09/04/2019	Free cholesterol in medium VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in medium VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	662	1	-	48	-	662	662	-	-	-	-	-	Battram-T_free_cholesterol_in_medium_vldl
Battram T	ARIES	-	09/04/2019	Free cholesterol in small HDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in small HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	Battram-T_free_cholesterol_in_small_hdl
Battram T	ARIES	-	09/04/2019	Free cholesterol in small LDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in small LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_free_cholesterol_in_small_ldl
Battram T	ARIES	-	09/04/2019	Free cholesterol in small VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	Battram-T_free_cholesterol_in_small_vldl
Battram T	ARIES	-	09/04/2019	Free cholesterol in very large VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in very large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	622	1	-	48	-	622	622	-	-	-	-	-	Battram-T_free_cholesterol_in_very_large_vldl
Battram T	ARIES	-	09/04/2019	Free cholesterol in very small VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in very small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_free_cholesterol_in_very_small_vldl
Battram T	ARIES	-	09/04/2019	Free cholesterol	EFO_0008591	-	-	DNA methylation	Free cholesterol	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	660	1	-	48	-	660	660	-	-	-	-	-	Battram-T_free_cholesterol
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in chylomicrons and XXL VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in chylomicrons and XXL VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	655	1	-	48	-	655	655	-	-	-	-	-	Battram-T_free_cholesterol_to_total_lipids_ratio_in_chylomicrons_and_xxl_vldl
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in IDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in IDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	661	1	-	48	-	661	661	-	-	-	-	-	Battram-T_free_cholesterol_to_total_lipids_ratio_in_idl
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in large HDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in large HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-	Battram-T_free_cholesterol_to_total_lipids_ratio_in_large_hdl
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in large LDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in large LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-	Battram-T_free_cholesterol_to_total_lipids_ratio_in_large_ldl
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in large VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in large VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-	Battram-T_free_cholesterol_to_total_lipids_ratio_in_large_vldl
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in medium HDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in medium HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	660	1	-	48	-	660	660	-	-	-	-	-	Battram-T_free_cholesterol_to_total_lipids_ratio_in_medium_hdl
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in medium LDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in medium LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-	Battram-T_free_cholesterol_to_total_lipids_ratio_in_medium_ldl
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in medium VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in medium VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	661	1	-	48	-	661	661	-	-	-	-	-	Battram-T_free_cholesterol_to_total_lipids_ratio_in_medium_vldl
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in small HDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in small HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	Battram-T_free_cholesterol_to_total_lipids_ratio_in_small_hdl
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in small LDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in small LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	666	1	-	48	-	666	666	-	-	-	-	-	Battram-T_free_cholesterol_to_total_lipids_ratio_in_small_ldl
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in small VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-	Battram-T_free_cholesterol_to_total_lipids_ratio_in_small_vldl
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in very large HDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in very large HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	661	1	-	48	-	661	661	-	-	-	-	-	Battram-T_free_cholesterol_to_total_lipids_ratio_in_very_large_hdl
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in very large VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in very large VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	616	1	-	48	-	616	616	-	-	-	-	-	Battram-T_free_cholesterol_to_total_lipids_ratio_in_very_large_vldl
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in very small VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in very small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	654	1	-	48	-	654	654	-	-	-	-	-	Battram-T_free_cholesterol_to_total_lipids_ratio_in_very_small_vldl
Battram T	ARIES	-	09/04/2019	Fasting glucose	EFO_0004465	-	-	DNA methylation	Fasting glucose	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-	Battram-T_fasting_glucose
Battram T	ARIES	-	09/04/2019	Glucose	EFO_0004468	-	-	DNA methylation	Glucose	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	660	1	-	48	-	660	660	-	-	-	-	-	Battram-T_glucose
Battram T	ARIES	-	09/04/2019	Glutamine	EFO_0009768	-	-	DNA methylation	Glutamine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_glutamine
Battram T	ARIES	-	09/04/2019	Glycoprotein acetyls	EFO_0004555	-	-	DNA methylation	Glycoprotein acetyls	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	Battram-T_glycoprotein_acetyls
Battram T	ARIES	-	09/04/2019	Gynoid bone mass	-	-	-	DNA methylation	Gynoid bone mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_gynoid_bone_mass
Battram T	ARIES	-	09/04/2019	Gynoid fat free mass	-	-	-	DNA methylation	Gynoid fat free mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_gynoid_fat_free_mass
Battram T	ARIES	-	09/04/2019	Gynoid fat mass	-	-	-	DNA methylation	Gynoid fat mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	Battram-T_gynoid_fat_mass
Battram T	ARIES	-	09/04/2019	Gynoid lean mass	-	-	-	DNA methylation	Gynoid lean mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_gynoid_lean_mass
Battram T	ARIES	-	09/04/2019	Gynoid region fat	-	-	-	DNA methylation	Gynoid region fat	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_gynoid_region_fat
Battram T	ARIES	-	09/04/2019	Gynoid tissue fat	-	-	-	DNA methylation	Gynoid tissue fat	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_gynoid_tissue_fat
Battram T	ARIES	-	09/04/2019	Gynoid tissue mass	-	-	-	DNA methylation	Gynoid tissue mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	Battram-T_gynoid_tissue_mass
Battram T	ARIES	-	09/04/2019	Gynoid total mass	-	-	-	DNA methylation	Gynoid total mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	Battram-T_gynoid_total_mass
Battram T	ARIES	-	09/04/2019	Fasting Haemoglobin	EFO_0004509	-	-	DNA methylation	Fasting Haemoglobin	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	675	1	-	48	-	675	675	-	-	-	-	-	Battram-T_fasting_haemoglobin
Battram T	ARIES	-	09/04/2019	High-density lipoprotein cholesterol	EFO_0004612	-	-	DNA methylation	High-density lipoprotein cholesterol	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	677	1	-	48	-	677	677	-	-	-	-	-	Battram-T_high-density_lipoprotein_cholesterol
Battram T	ARIES	-	09/04/2019	Head area	-	-	-	DNA methylation	Head area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	Battram-T_head_area
Battram T	ARIES	-	09/04/2019	Head bone mineral content	EFO_0007621	-	-	DNA methylation	Head bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_head_bone_mineral_content
Battram T	ARIES	-	09/04/2019	Head bone mineral density	EFO_0007591	-	-	DNA methylation	Head bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_head_bone_mineral_density
Battram T	ARIES	-	09/04/2019	Height	EFO_0004339	-	-	DNA methylation	Height	Age and technical covariates	Beta values	cm	Illumina HumanMethylation450	Whole blood	-	705	1	-	48	-	705	705	-	-	-	-	-	Battram-T_height
Battram T	ARIES	-	09/04/2019	Hip axis length	-	-	-	DNA methylation	Hip axis length	Age and technical covariates	Beta values	mm	Illumina HumanMethylation450	Whole blood	-	655	1	-	48	-	655	655	-	-	-	-	-	Battram-T_hip_axis_length
Battram T	ARIES	-	09/04/2019	Hip cortical ratio calcar	-	-	-	DNA methylation	Hip cortical ratio calcar	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	653	1	-	48	-	653	653	-	-	-	-	-	Battram-T_hip_cortical_ratio_calcar
Battram T	ARIES	-	09/04/2019	Hip cortical ratio neck	-	-	-	DNA methylation	Hip cortical ratio neck	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	653	1	-	48	-	653	653	-	-	-	-	-	Battram-T_hip_cortical_ratio_neck
Battram T	ARIES	-	09/04/2019	Hip cortical ratio shaft	-	-	-	DNA methylation	Hip cortical ratio shaft	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	651	1	-	48	-	651	651	-	-	-	-	-	Battram-T_hip_cortical_ratio_shaft
Battram T	ARIES	-	09/04/2019	Hip cortical width calcar	-	-	-	DNA methylation	Hip cortical width calcar	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	653	1	-	48	-	653	653	-	-	-	-	-	Battram-T_hip_cortical_width_calcar
Battram T	ARIES	-	09/04/2019	Hip cortical width neck	-	-	-	DNA methylation	Hip cortical width neck	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	653	1	-	48	-	653	653	-	-	-	-	-	Battram-T_hip_cortical_width_neck
Battram T	ARIES	-	09/04/2019	Hip cortical width shaft	-	-	-	DNA methylation	Hip cortical width shaft	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	645	1	-	48	-	645	645	-	-	-	-	-	Battram-T_hip_cortical_width_shaft
Battram T	ARIES	-	09/04/2019	Hip lower neck area	-	-	-	DNA methylation	Hip lower neck area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	687	1	-	48	-	687	687	-	-	-	-	-	Battram-T_hip_lower_neck_area
Battram T	ARIES	-	09/04/2019	Hip lower neck bone mineral content	EFO_0007621	-	-	DNA methylation	Hip lower neck bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-	Battram-T_hip_lower_neck_bone_mineral_content
Battram T	ARIES	-	09/04/2019	Hip lower neck bone mineral density	EFO_0007702	-	-	DNA methylation	Hip lower neck bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-	Battram-T_hip_lower_neck_bone_mineral_density
Battram T	ARIES	-	09/04/2019	Hip neck area	-	-	-	DNA methylation	Hip neck area	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	687	1	-	48	-	687	687	-	-	-	-	-	Battram-T_hip_neck_area
Battram T	ARIES	-	09/04/2019	Hip neck bone mineral content	EFO_0007621	-	-	DNA methylation	Hip neck bone mineral content	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-	Battram-T_hip_neck_bone_mineral_content
Battram T	ARIES	-	09/04/2019	Hip neck bone mineral density	EFO_0007702	-	-	DNA methylation	Hip neck bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	Battram-T_hip_neck_bone_mineral_density
Battram T	ARIES	-	09/04/2019	Hip neck T-score	-	-	-	DNA methylation	Hip neck T-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	Battram-T_hip_neck_t-score
Battram T	ARIES	-	09/04/2019	Hip neck Z-score	-	-	-	DNA methylation	Hip neck Z-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-	Battram-T_hip_neck_z-score
Battram T	ARIES	-	09/04/2019	Hip shaft area	-	-	-	DNA methylation	Hip shaft area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-	Battram-T_hip_shaft_area
Battram T	ARIES	-	09/04/2019	Hip shaft bone mineral content	EFO_0007621	-	-	DNA methylation	Hip shaft bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-	Battram-T_hip_shaft_bone_mineral_content
Battram T	ARIES	-	09/04/2019	Hip shaft bone mineral density	EFO_0007591	-	-	DNA methylation	Hip shaft bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-	Battram-T_hip_shaft_bone_mineral_density
Battram T	ARIES	-	09/04/2019	Hip total area	-	-	-	DNA methylation	Hip total area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-	Battram-T_hip_total_area
Battram T	ARIES	-	09/04/2019	Hip total bone mineral content	EFO_0007621	-	-	DNA methylation	Hip total bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-	Battram-T_hip_total_bone_mineral_content
Battram T	ARIES	-	09/04/2019	Hip total bone mineral density	EFO_0007702	-	-	DNA methylation	Hip total bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-	Battram-T_hip_total_bone_mineral_density
Battram T	ARIES	-	09/04/2019	Hip total T-score	-	-	-	DNA methylation	Hip total T-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-	Battram-T_hip_total_t-score
Battram T	ARIES	-	09/04/2019	Hip total Z-score		-	-	DNA methylation	Hip total Z-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-	Battram-T_hip_total_z-score
Battram T	ARIES	-	09/04/2019	Hip Troch area	-	-	-	DNA methylation	Hip Troch area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-	Battram-T_hip_troch_area
Battram T	ARIES	-	09/04/2019	Hip Troch bone mineral content	EFO_0007621	-	-	DNA methylation	Hip Troch bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	Battram-T_hip_troch_bone_mineral_content
Battram T	ARIES	-	09/04/2019	Hip Troch bone mineral density	EFO_0007591	-	-	DNA methylation	Hip Troch bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	Battram-T_hip_troch_bone_mineral_density
Battram T	ARIES	-	09/04/2019	Hip Troch T-score	-	-	-	DNA methylation	Hip Troch T-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	Battram-T_hip_troch_t-score
Battram T	ARIES	-	09/04/2019	Hip Troch Z-score	-	-	-	DNA methylation	Hip Troch Z-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	Battram-T_hip_troch_z-score
Battram T	ARIES	-	09/04/2019	Hip upper neck area	-	-	-	DNA methylation	Hip upper neck area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	687	1	-	48	-	687	687	-	-	-	-	-	Battram-T_hip_upper_neck_area
Battram T	ARIES	-	09/04/2019	Hip upper neck bone mineral content	EFO_0007621	-	-	DNA methylation	Hip upper neck bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-	Battram-T_hip_upper_neck_bone_mineral_content
Battram T	ARIES	-	09/04/2019	Hip upper neck bone mineral density	EFO_0007702	-	-	DNA methylation	Hip upper neck bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	Battram-T_hip_upper_neck_bone_mineral_density
Battram T	ARIES	-	09/04/2019	Hip upper neck T-score	-	-	-	DNA methylation	Hip upper neck T-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	Battram-T_hip_upper_neck_t-score
Battram T	ARIES	-	09/04/2019	Hip upper neck Z-score	-	-	-	DNA methylation	Hip upper neck Z-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-	Battram-T_hip_upper_neck_z-score
Battram T	ARIES	-	09/04/2019	Hip Wards area	-	-	-	DNA methylation	Hip Wards area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	687	1	-	48	-	687	687	-	-	-	-	-	Battram-T_hip_wards_area
Battram T	ARIES	-	09/04/2019	Hip Wards bone mineral content	EFO_0007621	-	-	DNA methylation	Hip Wards bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	Battram-T_hip_wards_bone_mineral_content
Battram T	ARIES	-	09/04/2019	Hip Wards bone mineral density	EFO_0007702	-	-	DNA methylation	Hip Wards bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	Battram-T_hip_wards_bone_mineral_density
Battram T	ARIES	-	09/04/2019	Hip Wards T-score	-	-	-	DNA methylation	Hip Wards T-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	Battram-T_hip_wards_t-score
Battram T	ARIES	-	09/04/2019	Hip Wards Z-score	-	-	-	DNA methylation	Hip Wards Z-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	319	1	-	48	-	319	319	-	-	-	-	-	Battram-T_hip_wards_z-score
Battram T	ARIES	-	09/04/2019	Histidine	EFO_0009769	-	-	DNA methylation	Histidine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	Battram-T_histidine
Battram T	ARIES	-	09/04/2019	Fasting insulin	EFO_0004466	-	-	DNA methylation	Fasting insulin	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	660	1	-	48	-	660	660	-	-	-	-	-	Battram-T_fasting_insulin
Battram T	ARIES	-	09/04/2019	Fasting insulin	EFO_0004466	-	-	DNA methylation	Fasting insulin	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	657	1	-	48	-	657	657	-	-	-	-	-	Battram-T_fasting_insulin
Battram T	ARIES	-	09/04/2019	Isoleucine	EFO_0009793	-	-	DNA methylation	Isoleucine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-	Battram-T_isoleucine
Battram T	ARIES	-	09/04/2019	Lactate	EFO_0007745	-	-	DNA methylation	Lactate	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	649	1	-	48	-	649	649	-	-	-	-	-	Battram-T_lactate
Battram T	ARIES	-	09/04/2019	Low-density lipoprotein cholesterol	EFO_0004611	-	-	DNA methylation	Low-density lipoprotein cholesterol	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	678	1	-	48	-	678	678	-	-	-	-	-	Battram-T_low-density_lipoprotein_cholesterol
Battram T	ARIES	-	09/04/2019	Leg area both	-	-	-	DNA methylation	Leg area both	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_leg_area_both
Battram T	ARIES	-	09/04/2019	Leg bone mineral content both	EFO_0007621	-	-	DNA methylation	Leg bone mineral content both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	Battram-T_leg_bone_mineral_content_both
Battram T	ARIES	-	09/04/2019	Leg bone mineral density both	EFO_0007591	-	-	DNA methylation	Leg bone mineral density both	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_leg_bone_mineral_density_both
Battram T	ARIES	-	09/04/2019	Leg bone mass both	-	-	-	DNA methylation	Leg bone mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	Battram-T_leg_bone_mass_both
Battram T	ARIES	-	09/04/2019	Leg fat free mass both	-	-	-	DNA methylation	Leg fat free mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-	Battram-T_leg_fat_free_mass_both
Battram T	ARIES	-	09/04/2019	Leg fat mass both	-	-	-	DNA methylation	Leg fat mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_leg_fat_mass_both
Battram T	ARIES	-	09/04/2019	Leg lean mass both	-	-	-	DNA methylation	Leg lean mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-	Battram-T_leg_lean_mass_both
Battram T	ARIES	-	09/04/2019	Leg region fat both	-	-	-	DNA methylation	Leg region fat both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_leg_region_fat_both
Battram T	ARIES	-	09/04/2019	Leg tissue fat both	-	-	-	DNA methylation	Leg tissue fat both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	Battram-T_leg_tissue_fat_both
Battram T	ARIES	-	09/04/2019	Leg tissue mass both	-	-	-	DNA methylation	Leg tissue mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-	Battram-T_leg_tissue_mass_both
